hoja_origen,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20
SUBANÁLISIS BÁSICOS,,,,,,,,,,,,,,,,,,,,
SUBANÁLISIS BÁSICOS,LISTADO DE SUBANÁLISIS BÁSICOS Y MATERIALES COMPUESTOS,,,,,,,,,,,,,,,,,,,
SUBANÁLISIS BÁSICOS,,,,,,,,,,,,,,,,,,,,
SUBANÁLISIS BÁSICOS,,Precios de:,,,,,Prom. Nacional,,Bogotá D.C.,,Medellín,,Cali,,Barranquilla,,,,,
SUBANÁLISIS BÁSICOS,Cod.,Descripcion,Tipo,Un.,Cant.,D.%,Valor,Subtotal,Valor,Subtotal,Valor,Subtotal,Valor,Subtotal,Valor,Subtotal,,,,
SUBANÁLISIS BÁSICOS,,ACEROS EN OBRA,,,,,,,,,,,,,,,,,,
SUBANÁLISIS BÁSICOS,40001,Acero 40000 PSI,,KG,,,,9184.273211487,,9471.08991109518,,9450.60300398031,,9450.60300398031,,9184.273211487,,,,
SUBANÁLISIS BÁSICOS,02388,Acero de 40000 PSI,MT,Kg,1,0.03,6651.75,6851.3025,6651.75,6851.3025,6651.75,6851.3025,6651.75,6851.3025,6651.75,6851.3025,,,,
SUBANÁLISIS BÁSICOS,01095,Alambre recocido No. 18,MT,KG,0.04,0.03,6900,284.28000000000003,6900,284.28000000000003,6900,284.28000000000003,6900,284.28000000000003,6900,284.28000000000003,,,,
SUBANÁLISIS BÁSICOS,60001,Cuadrilla tipo AA Albañilería,MN,HH,0.045,0,45526.46025526667,2048.690711487,51900.164691004,2335.50741109518,51444.90008845133,2315.02050398031,51444.90008845133,2315.02050398031,45526.46025526667,2048.690711487,,,,
SUBANÁLISIS BÁSICOS,40003,Acero 60000 PSI,,KG,,,,8667.470711487,,8954.28741109518,,8933.80050398031,,8933.80050398031,,8667.470711487,,,,
SUBANÁLISIS BÁSICOS,02389,Acero de 60000 PSI,MT,Kg,1,0.03,6150,6334.5,6150,6334.5,6150,6334.5,6150,6334.5,6150,6334.5,,,,
SUBANÁLISIS BÁSICOS,01095,Alambre recocido No. 18,MT,KG,0.04,0.03,6900,284.28000000000003,6900,284.28000000000003,6900,284.28000000000003,6900,284.28000000000003,6900,284.28000000000003,,,,
SUBANÁLISIS BÁSICOS,60001,Cuadrilla tipo AA Albañilería,MN,HH,0.045,0,45526.46025526667,2048.690711487,51900.164691004,2335.50741109518,51444.90008845133,2315.02050398031,51444.90008845133,2315.02050398031,45526.46025526667,2048.690711487,,,,
SUBANÁLISIS BÁSICOS,,,,,,,,,,,,,,,,,,,,
SUBANÁLISIS BÁSICOS,,CONCRETOS EN OBRA,,,,,,,,,,,,,,,,,,
SUBANÁLISIS BÁSICOS,40101,Concreto 1500 PSI en obra,,M3,,,,329024.85,,328491.975,,333636.975,,322979.475,,331799.475,,,,
SUBANÁLISIS BÁSICOS,01058,Cemento gris Argos Kilo,MT,Kg,175,0.05,632.9,116295.375,630,115762.5,658,120907.5,600,110250,648,119070,,,,
SUBANÁLISIS BÁSICOS,00155,Arena lavada blanca viaje x 7 M3,MT,M3,0.56,0.05,150000,88200.00000000001,150000,88200.00000000001,150000,88200.00000000001,150000,88200.00000000001,150000,88200.00000000001,,,,
SUBANÁLISIS BÁSICOS,00001,Agua de acueducto,MT,LT,185,0.05,10.7,2078.475,10.7,2078.475,10.7,2078.475,10.7,2078.475,10.7,2078.475,,,,
SUBANÁLISIS BÁSICOS,00162,"Triturado 1/2"" viaje x 7 M3",MT,M3,0.98,0.05,119000,122451,119000,122451,119000,122451,119000,122451,119000,122451,,,,
SUBANÁLISIS BÁSICOS,40103,Concreto 2000 PSI en obra,,M3,,,,338766.12,,338157.12,,344037.12,,331857.12,,341937.12,,,,
SUBANÁLISIS BÁSICOS,01058,Cemento gris Argos Kilo,MT,Kg,200,0.05,632.9,132909,630,132300,658,138180,600,126000,648,136080,,,,
SUBANÁLISIS BÁSICOS,00155,Arena lavada blanca viaje x 7 M3,MT,M3,0.5,0.05,150000,78750,150000,78750,150000,78750,150000,78750,150000,78750,,,,
SUBANÁLISIS BÁSICOS,00001,Agua de acueducto,MT,LT,192,0.05,10.7,2157.12,10.7,2157.12,10.7,2157.12,10.7,2157.12,10.7,2157.12,,,,
SUBANÁLISIS BÁSICOS,00162,"Triturado 1/2"" viaje x 7 M3",MT,M3,1,0.05,119000,124950,119000,124950,119000,124950,119000,124950,119000,124950,,,,
SUBANÁLISIS BÁSICOS,40105,Concreto 2500 PSI en obra,,M3,,,,395957.94,,395044.44,,403864.44,,385594.44,,400714.44,,,,
SUBANÁLISIS BÁSICOS,01058,Cemento gris Argos Kilo,MT,Kg,300,0.05,632.9,199363.5,630,198450,658,207270,600,189000,648,204120,,,,
SUBANÁLISIS BÁSICOS,00155,Arena lavada blanca viaje x 7 M3,MT,M3,0.48,0.05,150000,75600,150000,75600,150000,75600,150000,75600,150000,75600,,,,
SUBANÁLISIS BÁSICOS,00001,Agua de acueducto,MT,LT,204,0.05,10.7,2291.9399999999996,10.7,2291.9399999999996,10.7,2291.9399999999996,10.7,2291.9399999999996,10.7,2291.9399999999996,,,,
SUBANÁLISIS BÁSICOS,00162,"Triturado 1/2"" viaje x 7 M3",MT,M3,0.95,0.05,119000,118702.5,119000,118702.5,119000,118702.5,119000,118702.5,119000,118702.5,,,,
SUBANÁLISIS BÁSICOS,40107,Concreto 3000 PSI en obra,,M3,,,,428108.1,,427042.35,,437332.35,,416017.35,,433657.35,,,,
SUBANÁLISIS BÁSICOS,01058,Cemento gris Argos Kilo,MT,Kg,350,0.05,632.9,232590.75,630,231525,658,241815,600,220500,648,238140,,,,
SUBANÁLISIS BÁSICOS,00155,Arena lavada blanca viaje x 7 M3,MT,M3,0.56,0.05,150000,88200.00000000001,150000,88200.00000000001,150000,88200.00000000001,150000,88200.00000000001,150000,88200.00000000001,,,,
SUBANÁLISIS BÁSICOS,00001,Agua de acueducto,MT,LT,210,0.05,10.7,2359.35,10.7,2359.35,10.7,2359.35,10.7,2359.35,10.7,2359.35,,,,
